code_id,code_type,category,term,combined_score,combined_rank,code_tier,category_model_tier
986587,rxnorm,Medication - Antihypertensives,lisinopril 10 MG Oral Tablet,0.0423405666925935,1282.0,LOW,MEDIUM
789914,loinc,General Imaging,Colonoscopy study,0.0405735318112324,1302.0,LOW,MEDIUM
321592,snomed,Medication - Antihypertensives,Lisinopril,0.0403390734056973,1304.0,LOW,MEDIUM
785228,loinc,Lab - Cardiac Enzymes,Creatine kinase.MB [Mass/volume] in Serum or Plasma,0.0400297275537314,1309.0,LOW,MEDIUM
986753,rxnorm,Medication - Antihypertensives,lisinopril 20 MG Oral Tablet,0.0398285489155271,1313.0,LOW,MEDIUM
11094,snomed,Comorbidity - Cardiovascular,Mitral valve disorder,0.0397337458848198,1317.0,LOW,STRONG
779635,loinc,Vital Signs / Anthropometrics,Body weight Estimated,0.0393274668964859,1330.0,LOW,MEDIUM
370440,snomed,Comorbidity - Skin / Dermatology,Inflamed seborrheic keratosis,0.0392914959691858,1331.0,LOW,MEDIUM
850093,loinc,Comorbidity - Respiratory / ENT,Breath sounds by Auscultation,0.0387178654694515,1342.0,LOW,MEDIUM
37949,snomed,Comorbidity - Skin / Dermatology,Contact dermatitis,0.0375803450435921,1359.0,LOW,MEDIUM
782108,loinc,Lab - Cardiac Enzymes,Troponin I.cardiac [Mass/volume] in Serum or Plasma,0.0366425629910402,1376.0,LOW,MEDIUM
500655,snomed,Comorbidity - Skin / Dermatology,Actinic keratosis,0.0365933194031263,1377.0,LOW,MEDIUM
864878,loinc,Comorbidity - Mental Health,Little interest or pleasure in doing things in last 2 weeks Caregiver [Reported.PHQ],0.036481957601918,1387.0,LOW,STRONG
334451,snomed,Comorbidity - Respiratory / ENT,FEV1 before bronchodilation,0.0351531854702079,1407.0,LOW,MEDIUM
864151,loinc,Lifestyle - Social Determinants of Health,Country of travel [Location],0.0347051222534158,1420.0,LOW,MEDIUM
1002342,rxnorm,Medication - Mental Health / Sleep,alprazolam Oral Tablet,0.0334256330579631,1449.0,LOW,MEDIUM
335530,snomed,Comorbidity - Skin / Dermatology,Onychomycosis due to dermatophyte,0.0332694590480394,1456.0,LOW,MEDIUM
779658,loinc,Vital Signs / Anthropometrics,Blood pressure device Cuff size,0.0325949075083467,1472.0,LOW,MEDIUM
100680,snomed,Comorbidity - Cardiovascular,Tricuspid valve regurgitation,0.0322834877499894,1479.0,LOW,STRONG
773574,loinc,Lab - Lipid Panel,Triglyceride [Mass/volume] in Blood,0.032041971341826,1481.0,LOW,STRONG
56724,snomed,Comorbidity - Cardiovascular,Aortic valve regurgitation,0.0318053914682989,1488.0,LOW,STRONG
423631,snomed,Medication - Antibiotics,Penicillin,0.031752792077595,1490.0,LOW,MEDIUM
5450020,truveta,Lifestyle - Social Determinants of Health,"Have you experienced physical, sexual, or emotional abuse or threats from a current or former partner or family member?",0.0310997999997886,1501.0,LOW,MEDIUM
839640,loinc,Comorbidity - Mental Health,Trouble sleeping in past 4 weeks [Reported.PHQ],0.0309672753009213,1502.0,LOW,STRONG
850120,loinc,Vital Signs / Anthropometrics,Nursing physiologic assessment panel,0.0307716617799559,1505.0,LOW,MEDIUM
858770,loinc,Comorbidity - Mental Health,Patient Health Questionnaire-9: Modified for Teens total score [Reported.PHQ.Teen],0.0303132250916718,1512.0,LOW,STRONG
321534,snomed,Comorbidity - Respiratory / ENT,Abnormal breathing,0.0302716266514607,1513.0,LOW,MEDIUM
45902,snomed,Comorbidity - Cardiovascular,Mitral valve regurgitation,0.028397004305449,1545.0,LOW,STRONG
