Code,Name,Category
413560001,Anticoagulation not indicated,Cardiovascular medication - anticoagulation - not
39689111000001106,Clopidogrel 75mg tablets,Cardiovascular medication - antiplatelet
407571005,Clopidogrel not indicated,Cardiovascular medication - antiplatelet - not
266716006,Salicylate prophylaxis,Cardiovascular medication - aspirin
315052006,Beta blocker prophylaxis,Cardiovascular medication - beta blocker
4.23711E+16,Bisoprolol 1.25mg tablets,Cardiovascular medication - beta blocker
315214003,Beta blocker not indicated,Cardiovascular medication - beta blocker - not
4.22947E+16,Furosemide 20mg tablets,Cardiovascular medication - Diuretic
42294811000001108,Furosemide 40mg tablets,Cardiovascular medication - Diuretic
134390006,Angiotensin converting enzyme inhibitor not indicated,Cardiovascular medication - not
407572003,Angiotensin II receptor antagonist not indicated,Cardiovascular medication - not
41988111000001106,Quinine bisulfate 300mg tablets,Cardiovascular medication - quinine
4.19882E+16,Quinine sulfate 200mg tablets,Cardiovascular medication - quinine
41988311000001108,Quinine sulfate 300mg tablets,Cardiovascular medication - quinine
39695411000001103,Atorvastatin 10mg tablets,Cardiovascular medication - statin
4896711000001108,Simvador 40mg tablets (Dexcel-Pharma Ltd),Cardiovascular medication - statin
42381911000001105,Simvastatin 10mg tablets,Cardiovascular medication - statin
315053001,Statin prophylaxis,Cardiovascular medication - statin
134396000,Statin declined,Cardiovascular medication - statin - not
413174003,Statin not tolerated,Cardiovascular medication - statin - not
913681000000100,Admission avoidance care plan agreed,Care plan
797151000000101,Admission avoidance care started,Care plan
844571000000103,Agreeing on health professional actions in care plan,Care plan
844591000000104,Agreeing on patient actions in care plan,Care plan
842271000000109,Assessment of Year of Care goal importance,Care plan
170549007,Chronic disease monitoring,Care plan
185679000,Chronic disease monitoring - first recall,Care plan
185680002,Chronic disease monitoring - second recall,Care plan
445142003,Counselling about disease,Care plan
736161001,Education for care planning,Care plan
225294001,Identifying goals,Care plan
182838006,Medication changed,Care plan
961861000000105,Medication review done by medicines management technician,Care plan
719478008,Medication review done by nurse,Care plan
88551000000109,Medication review with patient,Care plan
305599003,Under care of podiatrist,Care plan
523051000000100,Personal care plan completed,Care plan
913721000000107,Review of admission avoidance care plan,Care plan
425268008,Review of care plan,Care plan
523031000000107,Review of personal care plan,Care plan
