id,name,active,notes
718241000000107,Issue of chronic obstructive pulmonary disease rescue pack,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
719873005,Fibrosis-4 index score,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
72313002,Systolic arterial pressure,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
723245007,Number of chronic obstructive pulmonary disease exacerbations in past year,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
726611000001102,Flixotide 50 Evohaler,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
736056000,Asthma clinical management plan,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
754061000000100,Asthma review using Royal College of Physicians three questions,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
767641000000109,Referral for smoking cessation service offered,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
77176002,Current smoker,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
78564009,Pulse rate,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
810901000000102,Asthma self-management plan review,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
831311000006106,2 week rule referral - lung,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
8517006,Ex-smoker,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
871641000000105,Referral to smoking cessation service declined,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
87433001,Pulmonary emphysema,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
894821000000107,Spirometry screening invitation,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
909721000006104,[RFC] Emphysema,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
909731000006101,[RFC] Reason for care : Pulmonary fibrosis,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
919601000000107,Single inhaler maintenance and reliever therapy started,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
9205211000001104,Easyhaler Salbutamol,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
9516911000001109,AeroChamber Plus,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
95325000,Subcutaneous nodule,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
