EVENT_TYPE	CATEGORY	TERM	CODE
OBS	RENAL_FUNCTION	At risk of acute kidney injury	938911000000100
OBS	RENAL_FUNCTION	Blood urea	1028281000000106
OBS	RENAL_FUNCTION	GFR (glomerular filtration rate) calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation	1020291000000106
OBS	RENAL_FUNCTION	Glomerular filtration rate	80274001
OBS	RENAL_FUNCTION	Measurement of renal function	441915005
OBS	RENAL_FUNCTION	O/E: renal calculus	168041003
OBS	RENAL_FUNCTION	Plasma creatinine level	1001011000000107
OBS	RENAL_FUNCTION	Plasma urea level	1000961000000100
OBS	RENAL_FUNCTION	Serum creatinine level	1000731000000107
OBS	RENAL_FUNCTION	Ultrasound of bilateral kidneys	13301000087109
OBS	RENAL_FUNCTION	Urea and electrolytes	1028131000000104
OBS	RENAL_FUNCTION	eGFR (estimated glomerular filtration rate) using creatinine Chronic Kidney Disease Epidemiology Collaboration equation per 1.73 square metres	1011481000000105
OBS	SEXUAL_REPRODUCTIVE	Acute epididymitis	43491000
OBS	SEXUAL_REPRODUCTIVE	Haemospermia	34615008
OBS	SEXUAL_REPRODUCTIVE	Hydrocele of tunica vaginalis	70660007
OBS	SEXUAL_REPRODUCTIVE	Sperm: haemospermia O/E	167800009
OBS	SEXUAL_REPRODUCTIVE	[D]Semen abnormal	167767004
OBS	SMOKING	Current non-smoker	160618006
OBS	SMOKING	Minutes from waking to first tobacco consumption	413173009
OBS	SMOKING	Passive smoking risk	161080002
OBS	SMOKING	Smoking Age Started	137771000006103
OBS	SMOKING	Smoking cessation milestones	390900001
OBS	URINARY_RETENTION	Bladder outflow obstruction	236645006
OBS	URINARY_RETENTION	Bladder retention of urine	130951007
OBS	URINARY_RETENTION	Chronic retention of urine	236650000
OBS	URINARY_RETENTION	Overactive bladder	236633002
OBS	URINARY_RETENTION	Unstable bladder	61033006
OBS	URINARY_RETENTION	Urinary tract obstruction	7163005
OBS	URINE_MARKERS	Epithelial cell count	992871000000105
OBS	URINE_MARKERS	Finding related to casts on urine microscopy	365689007
OBS	URINE_MARKERS	MSU sent for C/S	168336001
OBS	URINE_MARKERS	MSU sent for bacteriology	168337005
OBS	URINE_MARKERS	Organism count	992821000000106
OBS	URINE_MARKERS	Sample microscopy: leucocytes	999291000000102
OBS	URINE_MARKERS	Urine culture	1023711000000100
OBS	URINE_MARKERS	Urine dipstick test	1007881000000101
OBS	URINE_MARKERS	Urine examination	167217005
OBS	URINE_MARKERS	Urine leucocyte test	1014851000000100
OBS	URINE_MARKERS	Urine microalbumin/creatinine ratio	1027791000000103
OBS	URINE_MARKERS	Urine microscopy	1014831000000107
OBS	URINE_MARKERS	Urine nitrite level	1023721000000106
OBS	URINE_MARKERS	Urine protein/creatinine ratio	1028731000000100
OBS	UTI	Acute cystitis	68226007
OBS	VITAMIN_D	25-Hydroxyvitamin D3 level	997741000000108
OBS	VITAMIN_D	Total 25-hydroxyvitamin D level	1029801000000105
OBS	WEIGHT	O/E - weight 10-20% over ideal	268915006
OBS	FAMILY_HISTORY	Family history of neoplasm of male genital tract	160290005
OBS	FAMILY_HISTORY	Family history of prostate cancer	414205003
OBS	PSA	Serum PSA (prostate specific antigen) level	1000381000000105
OBS	PSA	Prostate specific antigen level	1030791000000100
OBS	PSA	Total PSA (prostate specific antigen) level	1006591000000104
MED	ALPHA_BLOCKERS	Alfuzosin 10mg modified-release tablets	38897311000001105
MED	ALPHA_BLOCKERS	Alfuzosin 2.5mg tablets	42030911000001107
MED	ALPHA_BLOCKERS	Doxazosin 4mg modified-release tablets	39020411000001106
