TERM,MED_CODE_ID,MEDIAN_DIAGNOSIS_AGE,MEDIAN_EVENT_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_PRESCRIPTIONS,AVG_PRESCRIPTIONS_PER_PATIENT,AVG_DURATION,MEDIAN_DURATION,STD_DURATION
Nitrofurantoin 100mg modified-release capsules,39108511000001108,74.000,74.000,872,5166,0.168796,1187,1.36,9.807077,7.000,8.890130426
Amoxicillin 500mg capsules,39732411000001106,74.000,73.000,679,5166,0.131436,881,1.3,9.959137,7.000,9.247882352
Trimethoprim 200mg tablets,41956211000001109,71.000,70.000,622,5166,0.120403,764,1.23,10.730366,7.000,10.997107665
Comirnaty COVID-19 mRNA Vaccine 30micrograms/0.3ml dose concentrate for dispersion for injection multidose vials (Pfizer Ltd),39115611000001103,78.000,77.000,513,5166,0.099303,751,1.46,326.857523,365.000,106.838031651
Omeprazole 20mg gastro-resistant capsules,42356411000001102,71.000,70.000,433,5166,0.083817,559,1.29,22.611807,28.000,15.854895459
Doxycycline 100mg capsules,41948311000001104,75.000,74.000,363,5166,0.070267,489,1.35,22.877301,28.000,11.989291514
Flucloxacillin 500mg capsules,39692211000001107,75.000,74.000,278,5166,0.053813,336,1.21,11.449405,7.000,9.03312969
Prednisolone 5mg tablets,42087311000001104,75.000,74.000,268,5166,0.051878,469,1.75,19.895522,28.000,14.198221297
"COVID-19 Vaccine Vaxzevria (ChAdOx1 S [recombinant]) not less than 2.5x100,000,000 infectious units/0.5ml dose suspension for injection multidose vials (AstraZeneca UK Ltd)",39114911000001105,71.000,71.000,250,5166,0.048393,416,1.66,328.545673,365.000,104.797856276
Paracetamol 500mg tablets,42109611000001109,74.500,74.000,238,5166,0.04607,318,1.34,20.613208,25.000,16.824706238
Spikevax XBB.1.5 COVID-19 mRNA Vaccine 0.1mg/1ml dispersion for injection multidose vials (Moderna Biotech Distributor UK Ltd),42023311000001102,81.000,81.000,216,5166,0.041812,218,1.01,361.908257,365.000,32.204284932
Pivmecillinam 200mg tablets,39702711000001106,77.000,76.000,216,5166,0.041812,299,1.38,22.364548,28.000,9.853160863
"COVID-19 Vaccine Spikevax 0 (Zero)/O (Omicron) 0.1mg/ml dispersion for injection multidose vials (Moderna, Inc)",40801911000001102,77.000,76.000,214,5166,0.041425,215,1,343.055814,365.000,83.342367023
"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes",39716811000001100,73.000,72.000,211,5166,0.040844,214,1.01,22.481308,28.000,12.543525222
Comirnaty Original/Omicron BA.4-5 COVID-19 mRNA Vaccine 15micrograms/15micrograms/0.3ml dose dispersion for injection multidose vials (Pfizer Ltd),41239511000001102,80.000,79.000,206,5166,0.039876,223,1.08,351.399103,365.000,66.470527228
Tamsulosin 400microgram modified-release capsules,38754011000001109,74.000,73.000,204,5166,0.039489,253,1.24,24.968379,28.000,19.954486613
Amlodipine 5mg tablets,39732011000001102,74.000,74.000,192,5166,0.037166,246,1.28,25.650407,28.000,29.256496578
Lansoprazole 30mg gastro-resistant capsules,42354611000001108,70.000,70.000,186,5166,0.036005,231,1.24,27.004329,28.000,16.37588306
Comirnaty Omicron XBB.1.5 COVID-19 mRNA Vaccine 30micrograms/0.3ml dose dispersion for injection multidose vials (Pfizer Ltd),42020711000001107,78.000,77.000,182,5166,0.03523,182,1,348.335165,365.000,73.265450725
Spikevax JN.1 COVID-19 mRNA Vaccine 0.1mg/ml dispersion for injection multidose vials (Moderna Biotech Distributor UK Ltd),42985911000001104,80.000,80.000,181,5166,0.035037,201,1.11,359.970149,365.000,40.96473
"Spikevax COVID-19 mRNA (nucleoside modified) Vaccine 0.1mg/0.5ml dose dispersion for injection multidose vials (Moderna, Inc)",39326911000001101,79.000,78.000,180,5166,0.034843,191,1.06,343.827225,365.000,81.988615978
Co-amoxiclav 500mg/125mg tablets,39732211000001107,73.000,73.000,177,5166,0.034262,208,1.18,11.019231,7.000,9.754949974
Naproxen 500mg tablets,42107811000001100,67.000,67.000,175,5166,0.033875,235,1.34,21.795745,28.000,10.898168057
Aspirin 75mg dispersible tablets,42291811000001106,73.000,73.000,175,5166,0.033875,245,1.4,14.473469,0.000,17.444417302
Amitriptyline 10mg tablets,42291111000001104,75.000,74.000,172,5166,0.033295,215,1.25,23.962791,28.000,13.316720993
"Adjuvanted quadrivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)",40085311000001103,78.000,77.000,170,5166,0.032907,171,1.01,24.526316,28.000,9.06662644
Co-codamol 30mg/500mg tablets,42009811000001101,70.000,69.000,168,5166,0.03252,230,1.37,16.000000,13.000,11.558471049
Comirnaty Original/Omicron BA.1 COVID-19 mRNA Vaccine 15micrograms/15micrograms/0.3ml dose dispersion for injection multidose vials (Pfizer Ltd),40851611000001102,73.000,72.000,157,5166,0.030391,158,1.01,337.272152,365.000,92.898180596
Salbutamol 100micrograms/dose inhaler CFC free,39113611000001102,71.000,70.000,155,5166,0.030004,206,1.33,49.286408,28.000,346.884967943
Cefalexin 500mg capsules,39694811000001102,73.000,73.000,155,5166,0.030004,197,1.27,9.517766,7.000,9.856415018
Clarithromycin 500mg tablets,41946511000001109,71.000,71.000,149,5166,0.028842,176,1.18,11.607955,7.000,9.42154032
Atorvastatin 20mg tablets,39733011000001106,73.000,72.000,146,5166,0.028262,199,1.36,23.708543,28.000,22.910354013
Ciprofloxacin 500mg tablets,39687811000001107,71.500,71.000,139,5166,0.026907,180,1.29,11.594444,7.000,10.374386825
Laxido Orange oral powder sachets sugar free (Galen Ltd),17420611000001107,77.000,76.000,135,5166,0.026132,147,1.09,26.170068,28.000,9.56976844
Hydroxocobalamin 1mg/1ml solution for injection ampoules,39111511000001100,76.000,76.000,126,5166,0.02439,289,2.29,30.280277,28.000,42.888271252
Tramadol 50mg capsules,42017811000001106,70.000,69.500,119,5166,0.023035,204,1.71,19.446078,28.000,12.883411815
Co-codamol 8mg/500mg tablets,42010211000001106,74.000,74.000,118,5166,0.022842,148,1.25,14.202703,13.000,11.270308647
Otomize ear spray (Ennogen Healthcare International Ltd),507711000001101,74.000,74.000,118,5166,0.022842,148,1.25,24.135135,28.000,9.611960154
Ramipril 2.5mg capsules,42381411000001102,72.000,72.000,117,5166,0.022648,156,1.33,24.416667,28.000,21.713666963
Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd),37514711000001105,75.000,74.000,116,5166,0.022455,119,1.03,26.411765,28.000,6.379803602
Lactulose 3.1-3.7g/5ml oral solution,42354411000001105,76.000,76.000,115,5166,0.022261,158,1.37,-216.987342,28.000,2997.577695082
Ferrous fumarate 210mg tablets,41984711000001104,76.000,75.500,113,5166,0.021874,126,1.12,40.968254,28.000,28.53767657
Simvastatin 40mg tablets,42382311000001100,69.000,69.000,112,5166,0.02168,174,1.55,14.022989,0.000,18.759183964
Macrogol compound oral powder sachets NPF sugar free,3591211000001105,77.000,77.000,109,5166,0.021099,116,1.06,28.715517,28.000,32.840009013
Metformin 500mg tablets,42084911000001109,73.000,73.000,109,5166,0.021099,157,1.44,19.630573,28.000,16.489424217
COVID-19 Vaccine VidPrevtyn Beta (CoV2 preS dTM monovalent B.1.351 [recombinant adjuvanted]) 5micrograms/0.5ml dose solution and emulsion for emulsion for injection multidose vials (Sanofi),40872011000001104,83.000,82.000,102,5166,0.019744,102,1,358.392157,365.000,46.955246618
Glyceryl trinitrate 400micrograms/dose pump sublingual spray,18358011000001101,74.000,74.000,102,5166,0.019744,116,1.14,22.034483,28.000,13.477150404
Lansoprazole 15mg gastro-resistant capsules,42354511000001109,73.000,73.000,101,5166,0.019551,119,1.18,25.394958,28.000,15.252239901
Diazepam 2mg tablets,42128111000001101,72.000,71.000,99,5166,0.019164,125,1.26,21.088000,28.000,11.767927982
Amlodipine 10mg tablets,39731911000001109,74.000,73.000,97,5166,0.018777,141,1.45,20.602837,28.000,19.178067629
Furosemide 20mg tablets,42294711000001100,80.000,80.000,95,5166,0.018389,118,1.24,23.677966,28.000,14.821952638
Senna 7.5mg tablets,42358311000001108,77.000,77.000,95,5166,0.018389,115,1.21,25.208696,28.000,11.04575466
Nitrofurantoin 50mg capsules,41953111000001108,70.000,70.000,93,5166,0.018002,112,1.2,9.991071,7.000,10.530518078
Prochlorperazine 5mg tablets,42040311000001105,74.000,74.000,92,5166,0.017809,109,1.18,24.009174,28.000,9.913043629
Ibuprofen 400mg tablets,42104911000001104,70.000,70.000,91,5166,0.017615,107,1.18,22.850467,28.000,35.099267243
Co-codamol 15mg/500mg tablets,3805611000001109,77.000,77.000,91,5166,0.017615,115,1.26,17.834783,14.000,11.099968739
Mometasone 50micrograms/dose nasal spray,39109911000001109,73.000,73.000,91,5166,0.017615,109,1.2,29.568807,28.000,14.407024363
Atorvastatin 40mg tablets,39733111000001107,72.000,72.000,89,5166,0.017228,113,1.27,21.495575,28.000,18.887885324
Ibuprofen 5% gel,41740811000001103,75.000,75.000,89,5166,0.017228,100,1.12,22.030000,28.000,11.892154262
Furosemide 40mg tablets,42294811000001108,79.000,79.000,88,5166,0.017034,116,1.32,21.905172,28.000,15.127273647
Hydrocortisone 1% cream,41900511000001104,76.000,75.000,87,5166,0.016841,106,1.22,23.716981,28.000,9.849104122
Hydrocortisone 1% / Miconazole 2% cream,41900111000001108,74.500,74.000,87,5166,0.016841,104,1.2,25.336538,28.000,7.534529647
Naproxen 250mg tablets,42107511000001103,70.000,70.000,87,5166,0.016841,105,1.21,23.380952,28.000,10.14451438
Cetirizine 10mg tablets,42186511000001101,73.000,73.000,86,5166,0.016647,99,1.15,26.727273,28.000,14.817817586
Bendroflumethiazide 2.5mg tablets,42206611000001103,69.000,68.000,86,5166,0.016647,162,1.88,19.691358,17.500,37.159432221
Folic acid 5mg tablets,42294611000001109,76.000,75.500,85,5166,0.016454,94,1.11,41.765957,28.000,29.082909122
Clopidogrel 75mg tablets,39689111000001106,74.000,73.000,85,5166,0.016454,109,1.28,21.981651,28.000,17.657744958
Fluad Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd),38973211000001108,76.000,75.000,84,5166,0.01626,84,1,28.000000,28.000,0
Codeine 15mg tablets,42010311000001103,78.000,77.500,84,5166,0.01626,90,1.07,23.055556,28.000,10.10546753
Simvastatin 20mg tablets,42382111000001102,70.000,69.500,84,5166,0.01626,114,1.36,17.017544,0.000,25.057803076
Amoxicillin 250mg capsules,39732311000001104,67.000,66.000,84,5166,0.01626,107,1.27,10.682243,7.000,11.689051587
Bisoprolol 2.5mg tablets,42371311000001103,75.000,75.000,83,5166,0.016067,105,1.27,22.800000,28.000,18.562990465
Codeine 30mg tablets,42010411000001105,73.000,72.000,83,5166,0.016067,110,1.33,15.000000,13.000,12.209185886
Finasteride 5mg tablets,42036011000001106,75.000,75.000,83,5166,0.016067,126,1.52,21.142857,28.000,21.796775656
Co-dydramol 10mg/500mg tablets,42010611000001108,71.000,71.000,80,5166,0.015486,106,1.33,16.933962,15.000,15.308428332
Ibuprofen 10% gel,41740611000001102,80.000,79.000,80,5166,0.015486,97,1.21,25.329897,28.000,8.775820987
Ramipril 5mg capsules,42381611000001104,76.000,75.000,77,5166,0.014905,92,1.19,23.206522,28.000,19.217401697
Diclofenac diethylammonium 1.16% gel,37899511000001101,77.000,77.000,77,5166,0.014905,96,1.25,23.843750,28.000,11.013224687
Betamethasone valerate 0.1% / Fusidic acid 2% cream,41892811000001109,73.500,73.000,74,5166,0.014324,82,1.11,25.451220,28.000,9.051502085
Bisoprolol 1.25mg tablets,42371111000001100,75.000,74.000,73,5166,0.014131,105,1.44,20.219048,28.000,17.746061845
Atorvastatin 10mg tablets,39695411000001103,73.000,72.500,72,5166,0.013937,98,1.36,22.642857,28.000,19.895733362
Comirnaty JN.1 COVID-19 mRNA Vaccine 30micrograms/0.3ml dose dispersion for injection multidose vials (Pfizer Ltd),43111411000001101,78.000,78.000,67,5166,0.012969,70,1.04,360.185714,365.000,40.279204138
Salamol 100micrograms/dose inhaler CFC free (Teva UK Ltd),106511000001103,77.000,76.000,66,5166,0.012776,79,1.2,28.253165,28.000,11.089921911
Fusidic acid 2% cream,41898711000001103,79.000,78.500,65,5166,0.012582,72,1.11,25.986111,28.000,7.506791392
Cefalexin 250mg capsules,39735311000001105,68.000,68.000,64,5166,0.012389,72,1.13,9.458333,7.000,11.314875519
Beclometasone 50micrograms/dose nasal spray,39111911000001107,72.500,71.500,64,5166,0.012389,82,1.28,-414.170732,25.000,3960.242353866
Levothyroxine sodium 25microgram tablets,39698311000001101,75.000,74.500,63,5166,0.012195,80,1.27,24.237500,28.000,21.738517268
Sertraline 50mg tablets,39704111000001102,70.000,69.000,63,5166,0.012195,77,1.22,23.662338,28.000,13.732989842
Clotrimazole 1% cream,41894811000001103,77.000,77.000,63,5166,0.012195,70,1.11,25.942857,28.000,7.414997977
Diclofenac sodium 50mg gastro-resistant tablets,42101911000001102,63.000,62.000,61,5166,0.011808,79,1.3,13.189873,10.000,13.232706148
Zopiclone 3.75mg tablets,42139311000001107,74.000,73.000,61,5166,0.011808,89,1.46,22.730337,28.000,10.192202951
Ramipril 10mg capsules,42381211000001101,70.000,70.000,60,5166,0.011614,94,1.57,14.085106,0.000,18.20059054
Loperamide 2mg capsules,42354711000001104,79.000,78.000,60,5166,0.011614,70,1.17,26.428571,28.000,13.542816066
Co-amoxiclav 250mg/125mg tablets,39732111000001101,69.000,68.500,60,5166,0.011614,66,1.1,-559.393939,7.000,4644.289402891
"Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)",43207711000001104,77.000,76.000,60,5166,0.011614,67,1.12,27.283582,28.000,4.148040742
Ferrous sulfate 200mg tablets,41985211000001107,75.000,75.000,59,5166,0.011421,73,1.24,29.630137,28.000,18.846239572
AeroChamber Plus (Trudell Medical UK Ltd),9516911000001109,75.000,74.000,59,5166,0.011421,65,1.1,24.123077,28.000,10.930901838
Betamethasone valerate 0.1% cream,41893111000001108,76.500,76.000,58,5166,0.011227,64,1.1,23.218750,28.000,10.324064607
Apixaban 5mg tablets,42206511000001102,78.500,78.500,58,5166,0.011227,68,1.17,21.955882,28.000,16.072999347
Nitrofurantoin 50mg tablets,41953211000001102,73.000,72.000,58,5166,0.011227,70,1.21,12.114286,7.000,13.606842764
Colchicine 500microgram tablets,42101011000001101,75.000,74.500,57,5166,0.011034,80,1.4,18.575000,28.000,12.155922672
Piroxicam 0.5% gel,41743811000001105,74.000,74.000,56,5166,0.01084,61,1.09,22.655738,28.000,11.660310545
Metronidazole 400mg tablets,41952111000001102,74.000,74.000,56,5166,0.01084,63,1.13,14.333333,7.000,11.11958457
Sildenafil 100mg tablets,42089311000001109,74.000,73.000,55,5166,0.010647,81,1.47,19.419753,28.000,23.431210063
"Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes",39716611000001104,72.000,71.500,52,5166,0.010066,52,1,29.269231,28.000,69.155158137
Revaxis vaccine suspension for injection 0.5ml pre-filled syringes (Sanofi),7374311000001101,69.000,68.000,52,5166,0.010066,53,1.02,18.226415,28.000,14.679448627
Dermol 500 lotion (Dermal Laboratories Ltd),553611000001106,78.000,78.000,51,5166,0.009872,69,1.35,26.000000,28.000,7.209062907
Chloramphenicol 1% eye ointment,42186711000001106,75.000,75.000,51,5166,0.009872,55,1.08,21.454545,28.000,12.087364353
Fexofenadine 180mg tablets,42189211000001108,73.000,73.000,50,5166,0.009679,63,1.26,28.031746,30.000,10.683071094
Loratadine 10mg tablets,42192711000001108,67.000,67.000,49,5166,0.009485,59,1.2,21.593220,28.000,17.930054378
Solifenacin 5mg tablets,42042911000001105,72.000,72.000,48,5166,0.009292,52,1.08,28.538462,30.000,16.06782381
Awaiting clinical code migration to EMIS Web,,68.000,67.000,47,5166,0.009098,104,2.21,9.471154,0.000,13.269394485
Phenoxymethylpenicillin 250mg tablets,41953811000001101,63.000,62.000,47,5166,0.009098,53,1.13,11.377358,7.000,10.215422752
Ventolin 100micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),222311000001102,71.500,71.000,47,5166,0.009098,70,1.49,18.857143,28.000,13.576712489
Sildenafil 50mg tablets,42089611000001104,68.500,68.000,46,5166,0.008904,60,1.3,21.066667,28.000,13.907523468
Enzira vaccine suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd),9511411000001107,69.000,69.000,46,5166,0.008904,47,1.02,13.723404,1.000,14.127835822
Ciprofloxacin 250mg tablets,39687511000001109,71.000,71.000,46,5166,0.008904,51,1.11,8.294118,5.000,11.564245112
Alendronic acid 70mg tablets,39731311000001108,77.500,76.500,46,5166,0.008904,52,1.13,20.750000,28.000,14.519594588
Warfarin 1mg tablets,42217511000001103,75.500,74.500,45,5166,0.008711,106,2.36,15.207547,28.000,14.620739995
Warfarin 3mg tablets,42217611000001104,73.000,73.000,45,5166,0.008711,95,2.11,16.357895,28.000,14.676595791
Daktacort 2%/1% cream (Janssen-Cilag Ltd),859911000001101,75.000,74.000,45,5166,0.008711,56,1.24,22.303571,28.000,11.265263823
Bisoprolol 5mg tablets,42371511000001109,74.000,73.000,45,5166,0.008711,57,1.27,19.859649,28.000,15.317402097
Levothyroxine sodium 50microgram tablets,39698611000001106,71.000,70.000,45,5166,0.008711,57,1.27,22.280702,28.000,24.732681092
Mometasone 0.1% ointment,41903611000001109,73.000,72.000,44,5166,0.008517,49,1.11,25.857143,28.000,7.314369419
Hydrocortisone 1% / Clotrimazole 1% cream,42374911000001104,71.000,70.500,44,5166,0.008517,54,1.23,21.629630,28.000,11.858117684
Cyclizine 50mg tablets,42034511000001109,74.000,73.500,44,5166,0.008517,54,1.23,21.129630,28.000,9.693503546
Hyoscine butylbromide 10mg tablets,42037011000001109,76.000,75.000,43,5166,0.008324,51,1.19,18.764706,28.000,11.524909067
Chloramphenicol 0.5% eye drops,42186611000001102,72.000,71.000,42,5166,0.00813,46,1.1,18.934783,28.000,12.651573776
Imuvac vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd),10859911000001105,71.000,71.000,40,5166,0.007743,41,1.02,15.707317,28.000,14.068126919
Zopiclone 7.5mg tablets,42139411000001100,63.000,62.000,40,5166,0.007743,69,1.73,19.478261,28.000,11.754359276
Nitrofurantoin 100mg tablets,41952911000001104,70.000,70.000,40,5166,0.007743,48,1.2,14.708333,7.000,12.031798868
Clobetasone 0.05% cream,41894611000001102,72.000,71.000,40,5166,0.007743,43,1.08,22.232558,28.000,10.555606046
Ramipril 1.25mg capsules,42381011000001106,75.000,74.000,40,5166,0.007743,53,1.33,16.584906,14.000,16.221346276
Ranitidine 150mg tablets,42357711000001106,69.000,68.000,40,5166,0.007743,56,1.4,21.267857,28.000,15.105075703
Flucloxacillin 250mg capsules,39692111000001101,71.000,70.000,39,5166,0.007549,40,1.03,13.675000,7.000,13.858973772
Transfer-degraded medication entry,,72.000,71.000,39,5166,0.007549,71,1.82,28.000000,28.000,0
Losartan 50mg tablets,42377011000001106,74.000,74.000,39,5166,0.007549,55,1.41,19.472727,28.000,15.922095685
Mirtazapine 15mg tablets,42274511000001104,76.000,75.000,39,5166,0.007549,55,1.41,28.127273,28.000,10.73425554
Carbocisteine 375mg capsules,42292811000001102,77.000,77.000,39,5166,0.007549,42,1.08,24.000000,28.000,13.736190411
Fenbid 5% gel (Advanz Pharma),165711000001104,76.000,75.000,39,5166,0.007549,46,1.18,24.347826,28.000,9.534073159
Epimax original cream (Aspire Pharma Ltd),27967011000001107,78.000,77.000,38,5166,0.007356,52,1.37,28.000000,28.000,0
Easyhaler Salbutamol sulfate 100micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),9205211000001104,77.000,76.500,38,5166,0.007356,46,1.21,29.826087,25.000,24.842887956
Gliclazide 80mg tablets,42082911000001100,75.000,74.000,38,5166,0.007356,57,1.5,19.315789,28.000,20.522772985
Co-codamol 30mg/500mg capsules,42009511000001104,73.000,73.000,38,5166,0.007356,55,1.45,14.963636,13.000,11.501954138
Citalopram 20mg tablets,42269411000001107,63.000,62.000,38,5166,0.007356,55,1.45,21.381818,28.000,16.133116283
Ketoconazole 2% shampoo,41789711000001105,70.000,70.000,37,5166,0.007162,45,1.22,23.022222,28.000,10.82608147
Zapain 30mg/500mg tablets (Advanz Pharma),75011000001100,69.000,69.000,37,5166,0.007162,45,1.22,18.133333,25.000,10.771595657
Gaviscon Advance oral suspension peppermint (Reckitt Benckiser Healthcare (UK) Ltd),3027611000001109,71.000,71.000,36,5166,0.006969,51,1.42,19.960784,28.000,12.652210518
Naseptin nasal cream (Alliance Pharmaceuticals Ltd),286111000001105,72.000,71.500,36,5166,0.006969,40,1.11,22.525000,28.000,10.483167222
Erythromycin 250mg gastro-resistant tablets,41948811000001108,69.000,68.500,35,5166,0.006775,44,1.26,14.500000,7.000,12.310895175
Gabapentin 300mg capsules,42129711000001109,73.000,73.000,35,5166,0.006775,54,1.54,20.629630,28.000,14.837861167
Cefalexin 500mg tablets,39735911000001106,71.000,71.000,35,5166,0.006775,44,1.26,8.272727,7.000,10.296451476
Lidocaine 20mg/2ml (1%) solution for injection ampoules,36039411000001106,75.000,75.000,35,5166,0.006775,47,1.34,21.234043,28.000,12.539004825
Prednisolone 1mg tablets,42086811000001106,75.000,75.000,34,5166,0.006581,71,2.09,21.549296,28.000,14.145962286
Fexofenadine 120mg tablets,42189111000001102,75.500,75.500,33,5166,0.006388,38,1.15,29.263158,30.000,9.912275269
Timodine cream (Alliance Pharmaceuticals Ltd),93111000001108,75.500,75.500,33,5166,0.006388,38,1.15,20.500000,28.000,12.682718597
Citalopram 10mg tablets,42269311000001100,68.000,68.000,33,5166,0.006388,41,1.24,22.878049,28.000,13.466987636
Allopurinol 100mg tablets,42099411000001101,76.500,76.000,33,5166,0.006388,44,1.33,19.886364,28.000,15.317137233
Pneumovax II vaccine solution for injection 0.5ml vials (Organon Pharma (UK) Ltd),3017311000001106,67.000,66.000,33,5166,0.006388,33,1,15.121212,1.000,16.465413691
Cetraben cream (Thornton & Ross Ltd),2962611000001103,75.000,74.000,33,5166,0.006388,37,1.12,26.486486,28.000,6.418816168
Mirabegron 50mg modified-release tablets,38893511000001109,75.000,74.500,33,5166,0.006388,38,1.15,34.578947,30.000,13.134710731
Doxazosin 4mg tablets,42209311000001101,74.000,73.000,33,5166,0.006388,46,1.39,16.434783,28.000,17.286670761
Levothyroxine sodium 100microgram tablets,39697911000001101,74.000,73.000,33,5166,0.006388,56,1.7,17.625000,28.000,17.858598629
GlucoRx lancets 0.31mm/30gauge (GlucoRx Ltd),17087411000001106,76.000,75.500,33,5166,0.006388,38,1.15,27.684211,28.000,14.267910043
Zerobase 11% cream (Thornton & Ross Ltd),7646611000001106,74.000,73.000,33,5166,0.006388,45,1.36,27.600000,28.000,2.683281573
Diazepam 5mg tablets,42128311000001104,65.000,65.000,33,5166,0.006388,48,1.45,14.645833,12.000,12.889860085
Aspirin 75mg gastro-resistant tablets,42291911000001101,72.000,71.500,32,5166,0.006194,44,1.38,17.340909,28.000,14.90581779
Morphine sulfate 10mg/5ml oral solution,36128311000001101,78.500,78.000,32,5166,0.006194,38,1.19,26.657895,28.000,5.799703268
Trimovate cream (Ennogen Healthcare International Ltd),422211000001109,72.000,72.000,32,5166,0.006194,37,1.16,23.513514,28.000,10.492382475
Atorvastatin 80mg tablets,39733211000001101,72.500,72.000,31,5166,0.006001,44,1.42,21.431818,28.000,16.291526877
Omeprazole 10mg gastro-resistant capsules,42356211000001101,72.000,72.000,31,5166,0.006001,45,1.45,13.355556,0.000,16.294387715
Oxybutynin 2.5mg tablets,42038911000001109,72.000,72.000,31,5166,0.006001,36,1.16,25.277778,28.000,13.310814325
E45 cream (Karo Healthcare UK Ltd),545211000001106,71.000,71.000,31,5166,0.006001,42,1.35,20.000000,28.000,12.802438791
Warfarin 5mg tablets,42217911000001105,76.000,75.000,31,5166,0.006001,77,2.48,13.090909,0.000,15.459779591
Miconazole 2% cream,41903211000001107,74.000,74.000,31,5166,0.006001,37,1.19,23.459459,28.000,10.463148522
Beconase Aqueous 50micrograms/dose nasal spray (GlaxoSmithKline UK Ltd),2940411000001108,69.000,69.000,31,5166,0.006001,39,1.26,23.128205,28.000,17.54569896
Hydrocortisone acetate 1% / Fusidic acid 2% cream,41900911000001106,73.000,72.000,31,5166,0.006001,35,1.13,25.885714,28.000,7.910422871
Metoclopramide 10mg tablets,42037611000001102,73.000,73.000,30,5166,0.005807,31,1.03,19.709677,28.000,11.512872665
Terbinafine 1% cream,41906111000001106,73.500,72.500,30,5166,0.005807,32,1.07,27.125000,28.000,4.949747468
Mebeverine 135mg tablets,42355011000001102,73.000,72.000,30,5166,0.005807,33,1.1,17.060606,17.000,14.527859856
Betamethasone valerate 0.1% ointment,41893211000001102,74.000,73.000,30,5166,0.005807,39,1.3,22.846154,28.000,12.270071556
Diclofenac sodium 3% gel,41738811000001101,76.000,75.000,30,5166,0.005807,32,1.07,22.312500,28.000,12.245967091
Kenalog Intra-articular / Intramuscular 40mg/1ml suspension for injection vials (Bristol-Myers Squibb Pharmaceuticals Ltd),306011000001103,78.500,77.500,30,5166,0.005807,38,1.27,25.447368,28.000,9.048509988
Prosys single use non-sterile drainable night drainage bag PSU2 2litre (Clinisupplies Ltd),11432911000001101,79.500,79.500,29,5166,0.005614,32,1.1,32.968750,28.000,28.107494552
Prednisolone 5mg gastro-resistant tablets,42087211000001107,73.000,72.000,29,5166,0.005614,39,1.34,12.666667,7.000,12.939806645
Atenolol 50mg tablets,42370711000001107,71.000,71.000,29,5166,0.005614,48,1.66,13.270833,0.000,19.060641831
Indapamide 2.5mg tablets,39696211000001108,76.000,75.500,29,5166,0.005614,36,1.24,26.833333,28.000,18.444511379
Doxazosin 2mg tablets,42209211000001109,75.000,75.000,29,5166,0.005614,37,1.28,24.027027,28.000,18.706039559
Gabapentin 100mg capsules,42129511000001104,78.000,77.000,29,5166,0.005614,39,1.34,26.435897,28.000,8.087660725
Diprobase cream (Bayer Plc),3468211000001106,75.000,75.000,29,5166,0.005614,31,1.07,33.741935,28.000,87.670203125
Losartan 25mg tablets,42376811000001102,74.000,73.000,28,5166,0.00542,38,1.36,30.026316,28.000,22.837246528
Fluoxetine 20mg capsules,42271711000001106,65.000,64.000,28,5166,0.00542,41,1.46,20.682927,28.000,14.454132662
Quinine sulfate 200mg tablets,41988211000001100,75.000,74.000,28,5166,0.00542,38,1.36,26.631579,28.000,14.712416253
Clarithromycin 250mg tablets,41946311000001103,71.000,71.000,28,5166,0.00542,29,1.04,15.482759,7.000,11.882221678
Lercanidipine 10mg tablets,42213011000001100,81.000,80.000,28,5166,0.00542,35,1.25,23.600000,28.000,13.90556385
Clobetasone 0.05% ointment,41894711000001106,78.500,77.500,28,5166,0.00542,34,1.21,26.352941,28.000,6.687312091
Docusate 100mg capsules,42353311000001100,77.500,77.000,28,5166,0.00542,32,1.14,26.937500,28.000,5.369793013
Cetomacrogol cream (Formula A),14654811000001105,78.000,77.000,28,5166,0.00542,37,1.32,40.000000,28.000,77.860273709
Cyanocobalamin 50microgram tablets,41984111000001100,74.000,74.000,28,5166,0.00542,37,1.32,28.054054,28.000,24.983267681
Olive oil ear drops,16132411000001105,80.000,79.000,27,5166,0.005226,29,1.07,23.724138,28.000,9.808511457
Atenolol 25mg tablets,42370611000001103,71.000,70.000,27,5166,0.005226,40,1.48,36.925000,0.000,142.684408346
Betamethasone valerate 0.1% scalp application,39110611000001106,72.000,71.000,27,5166,0.005226,31,1.15,26.645161,28.000,7.543422698
Clotrimazole 2% cream,41894911000001108,70.000,69.500,27,5166,0.005226,28,1.04,27.000000,28.000,6.520622593
