TERM,MED_CODE_ID,MEDIAN_EVENT_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_PRESCRIPTIONS,AVG_PRESCRIPTIONS_PER_PATIENT,AVG_DURATION,MEDIAN_DURATION,STD_DURATION
Biocath Aquamatic hydrogel coated pre-filled catheter male 12Ch D226412 10ml balloon (Bard Ltd),6301911000001106,70.000,9,207367,4.3e-05,9,1,15.555556,28.000,14.757295755
ViePax XL 75mg tablets (Dexcel-Pharma Ltd),14980711000001104,70.000,9,207367,4.3e-05,10,1.11,8.400000,0.000,13.525284951
Duofilm paint (Thornton & Ross Ltd),29731311000001109,69.000,9,207367,4.3e-05,9,1,18.666667,28.000,14
Rizatriptan 5mg tablets,42110811000001102,69.000,9,207367,4.3e-05,10,1.11,14.000000,14.000,14.757295755
Sodium hyaluronate 0.15% eye drops preservative free,14938111000001109,69.500,9,207367,4.3e-05,10,1.11,11.900000,3.500,14.019430944
Brufen Retard 800mg tablets (Viatris UK Healthcare Ltd),368011000001100,69.000,9,207367,4.3e-05,10,1.11,15.400000,7.000,19.18448446
Ethilon suture 5gauge 45cm length with 19mm reverse cutting needle 1666H Black (Ethicon Ltd),36585611000001101,69.000,9,207367,4.3e-05,9,1,28.000000,28.000,0
Exenatide  Prolonged release suspension for injection  2 mg device,,69.000,9,207367,4.3e-05,9,1,26.333333,28.000,4.636809248
Sodium cromoglicate 2% eye drops 0.3ml unit dose preservative free,17042811000001100,69.000,9,207367,4.3e-05,11,1.22,19.090909,28.000,15.680909062
Bydureon  Prolonged release suspension for injection  2 mg pen,,69.000,9,207367,4.3e-05,9,1,34.111111,28.000,12.414149629
Mepore dressing 9cm x 30cm (Molnlycke Health Care Ltd),721911000001103,70.000,9,207367,4.3e-05,11,1.22,19.636364,28.000,12.831778715
Mepore Film & Pad dressing 5cm x 7cm (Molnlycke Health Care Ltd),18001711000001101,69.000,9,207367,4.3e-05,9,1,21.777778,28.000,12.346839434
Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets,42384611000001102,69.000,9,207367,4.3e-05,9,1,24.888889,28.000,21.888606877
Diflucortolone 0.3% oily cream,36098411000001106,69.000,9,207367,4.3e-05,13,1.44,21.538462,28.000,12.27881228
Sibutramine 15mg capsules,39704311000001100,69.000,9,207367,4.3e-05,15,1.67,15.866667,28.000,15.756480159
Tegaderm Foam dressing (adhesive) 6.9cm x 7.6cm oval (3M Health Care Ltd),18653411000001106,69.000,9,207367,4.3e-05,9,1,28.000000,28.000,0
Medihoney Antibacterial Wound Gel dressing (Integra NeuroSciences Ltd),9424311000001100,69.000,9,207367,4.3e-05,9,1,28.000000,28.000,0
Ensure Shake oral powder 57g sachets (Flavour Not Specified),23412411000001107,69.500,9,207367,4.3e-05,10,1.11,20.300000,28.000,10.667187492
Benzocaine 1.5mg/dose oromucosal spray sugar free,3818311000001106,69.000,9,207367,4.3e-05,9,1,21.888889,28.000,12.128936928
Audavate RD 0.025% cream (Accord-UK Ltd),22522611000001101,69.000,9,207367,4.3e-05,10,1.11,28.000000,28.000,0
Able Spacer  With Face mask  medium,,69.500,9,207367,4.3e-05,10,1.11,28.000000,28.000,0
Quetiapine 200mg modified-release tablets,42278111000001102,69.000,9,207367,4.3e-05,10,1.11,27.000000,28.000,14.884742389
Neditol XL 2mg capsules (Aspire Pharma Ltd),22174911000001106,70.000,9,207367,4.3e-05,9,1,28.000000,28.000,0
"Colecalciferol 5,000unit tablets",20555411000001103,69.000,9,207367,4.3e-05,9,1,24.888889,28.000,9.333333327
Zumenon 2mg tablets (Exeltis UK Ltd),2838411000001101,69.000,9,207367,4.3e-05,16,1.78,42.000000,28.000,35.417509794
Oxeltra 10mg modified-release tablets (Wockhardt UK Ltd),29677811000001101,69.000,9,207367,4.3e-05,15,1.67,23.466667,28.000,9.448103884
"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)",184411000001106,69.000,9,207367,4.3e-05,14,1.56,40.500000,28.000,41.979390551
Saxagliptin 2.5mg tablets,39703811000001106,70.000,9,207367,4.3e-05,13,1.44,30.153846,28.000,13.819347271
Salbutamol 2.5mg/2.5ml / Ipratropium bromide 500micrograms/2.5ml nebuliser liquid unit dose vials,39710511000001100,69.000,9,207367,4.3e-05,9,1,22.222222,28.000,12.627131266
Nicotine 4mg lozenges sugar free,3506011000001105,69.000,9,207367,4.3e-05,19,2.11,13.263158,0.000,14.363696913
Salbutamol 4mg modified-release tablets,39025011000001108,70.000,9,207367,4.3e-05,10,1.11,8.000000,5.000,9.614803378
Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (B.Braun Medical Ltd),34703911000001102,69.500,9,207367,4.3e-05,12,1.33,11.666667,0.000,14.418002219
Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd),3891511000001109,69.000,9,207367,4.3e-05,10,1.11,28.000000,28.000,0
"Ring pessary 7.5mm thick, 59mm diameter, polythene",3443111000001104,69.000,9,207367,4.3e-05,9,1,21.777778,28.000,12.346839434
Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (AstraZeneca UK Ltd),19274811000001108,70.000,9,207367,4.3e-05,11,1.22,28.727273,28.000,23.78693301
Longtec 40mg modified-release tablets (Qdem Pharmaceuticals Ltd),20938111000001106,69.000,9,207367,4.3e-05,29,3.22,5.793103,0.000,11.543022958
Rotigotine 8mg/24hours transdermal patches,10142111000001106,70.000,9,207367,4.3e-05,10,1.11,26.700000,28.000,4.110960958
Pro-Cal shot (Flavour Not Specified),20999011000001105,69.000,9,207367,4.3e-05,13,1.44,17.230769,28.000,14.178351138
Soluble Aspirin Paediatric  Tablets  75 mg,,69.000,9,207367,4.3e-05,9,1,17.333333,0.000,33.286633954
Temazepam  Capsules  10 mg,,69.000,9,207367,4.3e-05,20,2.22,4.200000,0.000,10.257731377
Slo-Phyllin 125mg capsules (Merck Serono Ltd),176011000001103,70.000,9,207367,4.3e-05,12,1.33,11.666667,0.000,14.418002219
Glycopyrronium bromide 1mg/5ml oral solution sugar free,32977211000001106,69.500,9,207367,4.3e-05,14,1.56,26.428571,28.000,7.653197306
Pramipexole 700microgram tablets,42039611000001107,70.000,9,207367,4.3e-05,12,1.33,26.166667,28.000,14.609046581
Fersamal 210mg tablets (Mercury Pharma Group Ltd),327911000001107,69.000,9,207367,4.3e-05,10,1.11,22.800000,0.000,41.61410017
Sumatriptan 6mg/0.5ml solution for injection pre-filled syringes with device,11139411000001102,70.000,9,207367,4.3e-05,12,1.33,17.500000,28.000,13.180564214
TRUEplus lancets 0.32mm/30gauge (Trividia Health UK Ltd),22750611000001102,69.000,9,207367,4.3e-05,10,1.11,28.000000,28.000,0
Bonviva 150mg tablets (Atnahs Pharma UK Ltd),9544911000001107,70.000,9,207367,4.3e-05,12,1.33,4.750000,0.000,10.863826536
Aquacel Ag Extra dressing 15cm x 15cm square (ConvaTec Ltd),21814711000001107,69.000,9,207367,4.3e-05,10,1.11,28.000000,28.000,0
Flavoxate 200mg tablets,42036111000001107,70.000,9,207367,4.3e-05,19,2.11,23.789474,28.000,10.601776313
ClobaDerm 0.05% ointment (Accord-UK Ltd),37467411000001100,69.000,9,207367,4.3e-05,9,1,28.000000,28.000,0
Fencino 25micrograms/hour transdermal patches (Luye Pharma Ltd),19486911000001100,69.000,9,207367,4.3e-05,9,1,28.000000,28.000,0
Glucosamine hydrochloride 750mg tablets,10097111000001108,69.000,9,207367,4.3e-05,11,1.22,23.818182,28.000,11.813705431
Absorbent cotton BP 1988,3411711000001105,69.500,9,207367,4.3e-05,10,1.11,28.000000,28.000,11.430952148
Able Spacer 2 (Clement Clarke International Ltd),9516311000001108,70.000,9,207367,4.3e-05,11,1.22,28.000000,28.000,0
Optrex Allergy 2% eye drops (Reckitt Benckiser Healthcare (UK) Ltd),490911000001105,69.000,9,207367,4.3e-05,13,1.44,17.230769,28.000,14.178351138
Ikervis 1mg/ml eye drops emulsion 0.3ml unit dose (Santen UK Ltd),29950811000001104,70.000,9,207367,4.3e-05,15,1.67,28.000000,28.000,0
Dextrogel 40% gel (Neoceuticals Ltd),15607411000001102,69.000,9,207367,4.3e-05,9,1,31.111111,28.000,9.333333327
Morphine 30mg modified-release capsules,36127211000001105,69.000,9,207367,4.3e-05,9,1,29.000000,28.000,14.798648587
Axsain 0.075% cream (Ennogen Healthcare International Ltd),465711000001100,69.000,9,207367,4.3e-05,12,1.33,19.666667,28.000,12.701705909
Ostomy prolapse overbelt P (Nu-Hope Laboratories Inc),10023311000001106,70.000,9,207367,4.3e-05,12,1.33,23.333333,28.000,10.898985228
OpSite Post-Op dressing 10cm x 25cm (Smith & Nephew Healthcare Ltd),15900811000001103,70.000,9,207367,4.3e-05,9,1,28.000000,28.000,0
Brava skin cleanser wipes 12080 (Coloplast Ltd),34209711000001106,70.000,9,207367,4.3e-05,18,2,28.000000,28.000,0
Ethilon suture 6gauge 45cm length with 16mm conventional cutting needle 1866G Black (Ethicon Ltd),36586111000001103,69.000,9,207367,4.3e-05,9,1,28.000000,28.000,0
"Flexicare sterile leg bag 00-1502 500ml bag, short tube (Flexicare Medical Ltd)",6593211000001104,70.000,9,207367,4.3e-05,11,1.22,21.636364,28.000,14.500156723
Stalevo 150mg/37.5mg/200mg tablets (Orion Pharma (UK) Ltd),5302211000001106,70.000,9,207367,4.3e-05,14,1.56,20.285714,28.000,17.782569556
Pentoxifylline 400mg modified-release tablets,38752511000001106,69.000,9,207367,4.3e-05,11,1.22,25.818182,28.000,15.190906359
Valsartan 320mg tablets,42384311000001107,69.500,9,207367,4.3e-05,12,1.33,19.250000,28.000,17.689878971
Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices,21994811000001105,69.000,9,207367,4.3e-05,15,1.67,28.000000,28.000,0
Xismox XL 60 tablets (Genus Pharmaceuticals Ltd),308911000001100,69.000,9,207367,4.3e-05,11,1.22,12.727273,0.000,14.622523106
Lustral 50mg tablets (Viatris UK Healthcare Ltd),936411000001108,69.000,9,207367,4.3e-05,12,1.33,18.666667,28.000,13.786246987
Mebendazole 100mg/5ml oral suspension,41791611000001101,70.000,9,207367,4.3e-05,9,1,22.222222,28.000,11.475819971
Quetiapine 300mg modified-release tablets,42278411000001107,69.000,9,207367,4.3e-05,14,1.56,25.285714,28.000,14.040756995
Polytar Plus liquid (Haleon UK Trading Ltd),790611000001105,69.500,9,207367,4.3e-05,10,1.11,5.600000,0.000,11.805836607
Cutivate 0.05% cream (GlaxoSmithKline UK Ltd),221911000001107,69.000,9,207367,4.3e-05,9,1,27.333333,28.000,12.56980509
Sevredol 10mg tablets (Napp Pharmaceuticals Ltd),2898611000001107,69.000,9,207367,4.3e-05,11,1.22,16.545455,28.000,13.743097431
Salbutamol 4mg tablets,39703611000001107,69.000,9,207367,4.3e-05,13,1.44,9.153846,0.000,13.215181648
Torasemide 5mg tablets,42299111000001100,69.000,9,207367,4.3e-05,14,1.56,28.500000,28.000,30.631180699
Linctus Simple Bp  Linctus,,69.000,9,207367,4.3e-05,9,1,7.333333,7.000,9.313968005
Dihydrocodeine 40mg tablets,39708711000001109,69.500,9,207367,4.3e-05,10,1.11,15.600000,17.000,12.384578233
Carbimazole 10mg tablets,35298211000001100,69.000,9,207367,4.3e-05,12,1.33,32.666667,28.000,10.898985228
Tenoretic 100mg/25mg tablets (Atnahs Pharma UK Ltd),288711000001105,70.000,9,207367,4.3e-05,19,2.11,8.842105,0.000,13.371874139
BM-Accutest testing strips (Roche Diagnostics Ltd),298511000001101,69.000,9,207367,4.3e-05,12,1.33,16.333333,28.000,14.418002219
NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/28gauge (Novo Nordisk Ltd),448211000001109,69.000,9,207367,4.3e-05,18,2,14.777778,14.000,15.539534227
Hydrofilm Plus  Dressing  10 cm x 25 cm,,69.000,9,207367,4.3e-05,9,1,28.000000,28.000,0
Lyclear 1% creme rinse (Omega Pharma Ltd),3395811000001107,69.000,9,207367,4.3e-05,9,1,12.444444,0.000,14.757295755
Ceanel Concentrate shampoo (Alliance Pharmaceuticals Ltd),790511000001106,69.000,9,207367,4.3e-05,12,1.33,10.500000,0.000,15.934525126
Codeine Linctus Diabetic  Linctus  15 mg/5 ml,,70.000,9,207367,4.3e-05,10,1.11,11.700000,10.000,11.52822623
Slo-Phyllin 250mg capsules (Merck Serono Ltd),543711000001100,69.000,9,207367,4.3e-05,10,1.11,22.400000,28.000,11.805836607
"BD Micro-Fine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Becton, Dickinson UK Ltd)",37811000001103,69.000,9,207367,4.3e-05,14,1.56,28.000000,28.000,0
Predsol 20mg/100ml retention enema (RPH Pharmaceuticals AB),3416911000001102,69.000,9,207367,4.3e-05,11,1.22,15.272727,28.000,14.622523106
Flixotide 250micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),2831211000001109,69.000,9,207367,4.3e-05,11,1.22,12.909091,0.000,14.842200275
Ciloxan 0.3% eye drops (Novartis Pharmaceuticals UK Ltd),3686611000001107,70.000,9,207367,4.3e-05,11,1.22,17.818182,28.000,14.126699402
Tiotropium bromide 2.5micrograms/dose inhalation solution cartridge CFC free,37692711000001105,69.000,9,207367,4.3e-05,9,1,42.222222,30.000,15.982629446
"Portia ring pessary 1.25cm thick, 62mm diameter, PVC (Bray Group Ltd)",3016311000001108,69.000,9,207367,4.3e-05,11,1.22,20.363636,28.000,13.078782245
Permeable  Tape  2.5 cm x 5 m,,69.000,9,207367,4.3e-05,16,1.78,14.000000,14.000,14.459137837
Juzo Expert custom fit class 2 (23-32mmHg) below knee lymphoedema garment JLE2AD Almond (Juzo UK Ltd),23810411000001100,69.000,9,207367,4.3e-05,12,1.33,28.000000,28.000,0
"Bupivacaine 25mg/10ml (0.25%) / Adrenaline (base) 50micrograms/10ml (1 in 200,000) solution for injection ampoules",4616011000001101,70.000,9,207367,4.3e-05,11,1.22,25.454545,28.000,8.442317632
Naprosyn 250mg tablets (Atnahs Pharma UK Ltd),894311000001106,69.000,9,207367,4.3e-05,14,1.56,20.428571,28.000,24.409059752
Moviprep oral powder sachets (Forum Health Products Ltd),11381011000001108,69.000,9,207367,4.3e-05,10,1.11,16.800000,28.000,14.459137837
Versatis 700mg medicated plasters (Grunenthal Ltd),11052611000001103,69.000,9,207367,4.3e-05,17,1.89,19.764706,28.000,13.150710095
Cipralex 10mg tablets (Lundbeck Ltd),3388511000001100,69.000,9,207367,4.3e-05,11,1.22,15.272727,0.000,19.251446231
Rabipur vaccine powder and solvent for solution for injection 1ml vials (GlaxoSmithKline UK Ltd),8165311000001107,69.000,9,207367,4.3e-05,9,1,18.666667,28.000,14
Scholl Superlastik class II kneecap circular knit standard stock size 1-2 Suntan (SSL International Plc),11767811000001105,69.000,9,207367,4.3e-05,9,1,20.222222,28.000,15.825436613
Clindamycin 1% alcoholic solution,36142711000001103,69.000,9,207367,4.3e-05,10,1.11,15.500000,21.500,13.914420973
Icare Advanced  Testing strips,,70.000,9,207367,4.3e-05,9,1,21.777778,28.000,12.346839434
Dilzem XL 240 capsules (Teva UK Ltd),733511000001107,69.000,9,207367,4.3e-05,14,1.56,26.000000,28.000,43.188317506
"LINC-Flo sterile leg bag with T tap LM500LD-T 500ml bag, 30cm inlet tube (LINC Medical Systems Ltd)",13594611000001108,70.000,9,207367,4.3e-05,13,1.44,21.538462,28.000,12.27881228
Emulsiderm emollient (Dermal Laboratories Ltd),424511000001102,69.000,9,207367,4.3e-05,15,1.67,13.066667,0.000,14.459137837
Scholl Softgrip class II below knee stocking circular knit standard stock size closed toe Extra large Natural (SSL International Plc),6060411000001109,70.000,9,207367,4.3e-05,9,1,24.888889,28.000,9.333333327
Lipobase cream (Karo Healthcare UK Ltd),3759211000001104,69.000,9,207367,4.3e-05,12,1.33,21.000000,28.000,12.663476458
Povidone-Iodine 2.5% dry powder spray,36021111000001102,69.000,9,207367,4.3e-05,15,1.67,27.600000,28.000,9.507891459
Juvela Gluten-Free  Pizza bases  2 x 180 grams,,69.000,9,207367,4.3e-05,15,1.67,57.133333,0.000,190.712523624
Alprostadil 20microgram powder and solvent for solution for injection vials,35898211000001105,69.000,9,207367,4.3e-05,13,1.44,14.000000,14.000,14
Fluoxetine 60mg capsules,42272011000001101,69.000,9,207367,4.3e-05,13,1.44,17.923077,28.000,17.8627244
"Colecalciferol 2,000unit tablets",23637711000001109,70.000,9,207367,4.3e-05,11,1.22,33.272727,28.000,16.835028423
Credalast Classic Circular Knit class II below knee nylon stocking made to measure open toe Natural (Credenhill Ltd),11047711000001107,70.000,9,207367,4.3e-05,13,1.44,28.000000,28.000,0
Diamox SR 250mg capsules (Advanz Pharma),664611000001106,69.000,9,207367,4.3e-05,14,1.56,10.000000,0.000,13.922864432
Haloperidol 5mg tablets,42273211000001100,70.000,9,207367,4.3e-05,9,1,22.777778,28.000,10.603982459
Oruvail 2.5% gel (Sanofi),634211000001100,70.000,9,207367,4.3e-05,9,1,18.333333,0.000,23.452078799
Diphenhydramine 50mg tablets,42188111000001109,69.000,9,207367,4.3e-05,9,1,19.111111,28.000,15.202338998
Mefix tape 2.5cm (Molnlycke Health Care Ltd),624211000001103,70.000,9,207367,4.3e-05,9,1,17.111111,28.000,16.825905949
Nuvelle Continuous tablets (Bayer Plc),3049911000001108,70.000,9,207367,4.3e-05,9,1,22.666667,0.000,38.209946349
Levitra 20mg tablets (Bayer Plc),4363011000001102,69.000,9,207367,4.3e-05,23,2.56,8.521739,0.000,13.173215135
Buprenorphine 52.5micrograms/hour transdermal patches,35913811000001106,69.000,9,207367,4.3e-05,15,1.67,10.333333,1.000,12.315302148
Cipramil 20mg tablets (Lundbeck Ltd),847211000001102,69.000,9,207367,4.3e-05,14,1.56,8.000000,0.000,13.126602455
Ventolin 5mg Nebules (GlaxoSmithKline UK Ltd),3381811000001108,69.000,9,207367,4.3e-05,10,1.11,17.300000,28.000,13.888844444
"SenSura ileostomy bag with dual filter, Hide-Away outlet and split cover, maxi 15781 Cut to fit 10mm-65mm/76mm Beige (Coloplast Ltd)",10877811000001106,69.000,9,207367,4.3e-05,23,2.56,25.565217,28.000,8.066913846
Intrasite  Gel  15 grams,,69.000,9,207367,4.3e-05,9,1,18.666667,28.000,18.520259177
4SURE lancets sterile single use 0.195mm/33gauge (Nipro Diagnostics (UK) Ltd),35668811000001103,69.000,9,207367,4.3e-05,10,1.11,33.600000,28.000,11.805836607
Povitulle dressing 5cm x 5cm (C D Medical Ltd),21917711000001105,69.000,9,207367,4.3e-05,10,1.11,28.000000,28.000,0
Zantac 300mg tablets (GlaxoSmithKline UK Ltd),130911000001100,69.000,9,207367,4.3e-05,15,1.67,16.933333,28.000,14.320148987
Hydroxycarbamide 500mg capsules,41788411000001107,69.500,9,207367,4.3e-05,12,1.33,46.916667,28.000,101.36832779
Ascorbic acid 200mg tablets,41981111000001103,69.000,9,207367,4.3e-05,9,1,23.555556,28.000,31.902629641
OpSite Post-Op dressing 10cm x 30cm (Smith & Nephew Healthcare Ltd),15901011000001100,69.000,9,207367,4.3e-05,9,1,24.888889,28.000,9.333333327
Activa class II below knee stocking circular knit standard stock size closed toe Small Black (L&R Medical UK Ltd),6039011000001100,70.000,9,207367,4.3e-05,10,1.11,28.000000,28.000,0
Climaval 2mg tablets (Novartis Pharmaceuticals UK Ltd),2845111000001100,69.000,9,207367,4.3e-05,16,1.78,10.500000,0.000,14
Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free,39107211000001106,69.000,9,207367,4.3e-05,9,1,20.333333,14.000,14.974979132
Nicorette invisi 10mg/16hours patches (McNeil Products Ltd),14979111000001100,70.000,9,207367,4.3e-05,9,1,17.111111,14.000,13.605554417
LimbO limb protector adult half leg slim build standard MP76 (Thesis Technology Products and Services Ltd),12826511000001104,70.000,9,207367,4.3e-05,9,1,18.666667,28.000,14
Merbentyl 10mg tablets (Sanofi),425811000001103,69.500,9,207367,4.3e-05,10,1.11,13.700000,12.000,13.325414328
Pro D3 400unit capsules (Synergy Biologics Ltd),19181811000001101,69.000,9,207367,4.3e-05,9,1,28.666667,28.000,15.033296378
Trimipramine 50mg capsules,42281111000001103,69.000,9,207367,4.3e-05,23,2.56,20.695652,28.000,15.143059565
Pentasa 2g modified-release granules sachets (Ferring Pharmaceuticals Ltd),13701111000001100,70.000,9,207367,4.3e-05,17,1.89,17.058824,0.000,22.606610184
Juvela gluten free crispbread (Juvela Ltd),40936411000001100,69.000,9,207367,4.3e-05,13,1.44,17.230769,28.000,14.178351138
Mesorb dressing 20cm x 30cm (Molnlycke Health Care Ltd),279611000001104,69.000,9,207367,4.3e-05,11,1.22,28.000000,28.000,0
Topal chewable tablets (Pierre Fabre Ltd),3492111000001100,70.000,8,207367,3.9e-05,11,1.38,28.000000,28.000,15.33623161
Flomax MR 400microgram capsules (Astellas Pharma Ltd),835811000001107,69.000,8,207367,3.9e-05,20,2.5,21.000000,28.000,12.439326429
Rosiglitazone 4mg / Metformin 1g tablets,42089011000001106,70.000,8,207367,3.9e-05,8,1,38.500000,28.000,33.256578297
Ocuvite Lutein capsules (Bausch & Lomb UK Ltd),11581911000001105,69.000,8,207367,3.9e-05,11,1.38,15.818182,28.000,15.164551955
Xylometazoline 0.05% nasal drops,35368811000001107,69.000,8,207367,3.9e-05,10,1.25,22.400000,28.000,11.805836607
Comfifast  Stockinette  10.75 cm x 3 m (yellow line),,70.000,8,207367,3.9e-05,9,1.13,21.777778,28.000,12.346839434
Ensure Plus Advance liquid (Flavour Not Specified),24537911000001104,69.000,8,207367,3.9e-05,10,1.25,25.200000,28.000,8.854377448
Actisorb Silver 220 dressing 10.5cm x 10.5cm (Systagenix Wound Management Ltd),297011000001108,69.000,8,207367,3.9e-05,10,1.25,25.200000,28.000,8.854377448
Mepilex Border dressing 10cm x 10cm (Molnlycke Health Care Ltd),340111000001105,69.500,8,207367,3.9e-05,8,1,21.500000,14.000,27.018512172
Carmellose 1% eye drops,23464611000001101,69.000,8,207367,3.9e-05,9,1.13,28.000000,28.000,0
Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi),12144611000001100,69.000,8,207367,3.9e-05,12,1.5,18.833333,28.000,13.920771494
Calcichew Forte chewable tablets (Forum Health Products Ltd),547411000001104,69.500,8,207367,3.9e-05,8,1,22.875000,28.000,20.10996554
Lipostat 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),802411000001108,69.000,8,207367,3.9e-05,11,1.38,17.818182,28.000,14.126699402
Fosinopril 10mg tablets,42210511000001102,69.000,8,207367,3.9e-05,8,1,28.000000,28.000,14.966629547
Alprostadil 3mg/g cream,24535011000001105,70.000,8,207367,3.9e-05,10,1.25,28.000000,28.000,0
Zinc oxide impregnated medicated stockings,3655911000001104,69.000,8,207367,3.9e-05,13,1.63,28.000000,28.000,0
Scholl Softgrip class II below knee stocking circular knit standard stock size open toe Large Natural (SSL International Plc),6065211000001101,69.000,8,207367,3.9e-05,9,1.13,24.888889,28.000,9.333333327
Atarax 10mg tablets (Alliance Pharmaceuticals Ltd),509211000001102,69.000,8,207367,3.9e-05,12,1.5,9.500000,0.000,14.042144352
Elasticated tubular bandage BP 6.25cm size B,3373811000001102,69.000,8,207367,3.9e-05,9,1.13,23.333333,28.000,9.899494937
"Hepatitis A vaccine (inactivated, adsorbed) suspension for injection 0.5ml pre-filled syringes",36055611000001107,69.000,8,207367,3.9e-05,8,1,26.250000,28.000,11.683321446
Malic Acid  Pastilles  0.76 %,,69.000,8,207367,3.9e-05,13,1.63,5.307692,0.000,7.063811719
Trazodone 50mg/5ml oral solution sugar free,3909411000001104,69.000,8,207367,3.9e-05,14,1.75,23.714286,28.000,10.10276863
Reletrans 10micrograms/hour transdermal patches (Sandoz Ltd),33038911000001101,69.000,8,207367,3.9e-05,15,1.88,28.000000,28.000,0
Mobic 7.5mg tablets (Boehringer Ingelheim Ltd),591611000001104,69.000,8,207367,3.9e-05,9,1.13,6.444444,0.000,12.797569222
Trusopt 20mg/ml eye drops 0.2ml unit dose preservative free (Santen UK Ltd),10271211000001109,69.500,8,207367,3.9e-05,8,1,21.250000,28.000,13.133925537
Simpla Plus drainable night drainage bag 21576 2litre (Coloplast Ltd),6768211000001106,69.000,8,207367,3.9e-05,13,1.63,25.846154,28.000,7.765802727
Juvela gluten free fresh white rolls (Juvela Ltd),40948911000001106,69.000,8,207367,3.9e-05,10,1.25,19.600000,28.000,13.525284951
Estradiol 2mg tablets,41875211000001105,70.000,8,207367,3.9e-05,13,1.63,40.923077,28.000,50.626839947
Algivon Plus dressing 5cm x 5cm (Advancis Medical),21525911000001103,69.000,8,207367,3.9e-05,8,1,28.000000,28.000,0
Amias 8mg tablets (Neon Healthcare Ltd),36011000001106,70.000,8,207367,3.9e-05,10,1.25,32.200000,28.000,9.449279814
Water for injections 5ml ampoules,39720611000001106,69.000,8,207367,3.9e-05,9,1.13,28.000000,28.000,0
Zydol SR 100mg tablets (Grunenthal Ltd),306311000001100,69.000,8,207367,3.9e-05,11,1.38,19.727273,28.000,16.371260856
Betnesol 0.1% eye ointment (Focus Pharmaceuticals Ltd),3807311000001107,69.000,8,207367,3.9e-05,9,1.13,126.333333,0.000,357.451395297
Zinc sulfate monohydrate 125mg effervescent tablets sugar free,41990511000001101,70.000,8,207367,3.9e-05,10,1.25,28.000000,28.000,0
Ispaghula husk 3.5g granules for oral suspension sachets gluten free sugar free,9306211000001100,69.000,8,207367,3.9e-05,13,1.63,17.538462,28.000,14.448848778
Moxifloxacin 0.5% eye drops,18482711000001103,69.000,8,207367,3.9e-05,13,1.63,28.000000,28.000,0
Carbamazepine 100mg/5ml oral suspension sugar free,42125911000001109,69.000,8,207367,3.9e-05,9,1.13,24.888889,28.000,9.333333327
Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler,28365011000001100,69.000,8,207367,3.9e-05,8,1,33.250000,30.000,10.846329195
Tubigrip Elasticated Support Bandage  Stockinette  6.25 cm x 1 m (b),,69.000,8,207367,3.9e-05,9,1.13,12.444444,0.000,14.757295755
ICaps tablets (Alcon Eye Care UK Ltd),7657611000001106,70.000,8,207367,3.9e-05,17,2.13,13.823529,1.000,29.026357195
Eprosartan 400mg tablets,42374511000001106,69.000,8,207367,3.9e-05,17,2.13,8.235294,0.000,13.150710095
Adapt lubricating deodorant 78500 (Hollister Ltd),7458511000001108,69.000,8,207367,3.9e-05,18,2.25,25.444444,28.000,13.267484464
Glucosamine hydrochloride 1.5g chewable tablets,10893511000001108,69.000,8,207367,3.9e-05,13,1.63,10.923077,0.000,14.390167581
Daktarin Aktiv 0.16% spray powder (McNeil Products Ltd),3778811000001108,69.000,8,207367,3.9e-05,8,1,22.750000,28.000,14.849242405
Sanatogen Complete A-Z tablets (Bayer Plc),7516411000001105,69.500,8,207367,3.9e-05,8,1,28.875000,28.000,13.19564322
Mylife Clickfine AutoProtect hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Ypsomed Ltd),32579311000001103,69.000,8,207367,3.9e-05,8,1,28.000000,28.000,0
Jobst Elvarex silicone band for lymphoedema garment lower extremities L-A004 Beige (Essity UK Ltd),10107811000001108,69.000,8,207367,3.9e-05,10,1.25,28.000000,28.000,0
Germoloids ointment (Bayer Plc),4015911000001100,69.500,8,207367,3.9e-05,8,1,28.000000,28.000,0
Atorvastatin 60mg tablets,20528611000001105,69.000,8,207367,3.9e-05,12,1.5,11.666667,0.000,14.418002219
