CODE,EVENT_TYPE,CATEGORY,TERM,combined_score,combined_rank,code_tier,category_model_tier
38896811000001103,medication,RESPIRATORY_INHALERS,Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler,0.031716665499932,1279.0,LOW,LOW
315250005,observation,SYMPTOM_BREAST_PAIN,Persistent mastalgia,0.0316307693360377,1286.0,LOW,MEDIUM
839811000000106,observation,COMORBID_DM_EYE,Diabetic retinopathy screening declined,0.0314544600660883,1289.0,LOW,LOW
1017161000000104,observation,LAB_LIPIDS,Plasma total cholesterol level,0.0311940268192334,1298.0,LOW,STRONG
237463009,observation,SYMPTOM_NIPPLE,Eczema of nipple,0.0311832022901265,1299.0,LOW,LOW
39111311000001106,medication,RESPIRATORY_INHALERS,Fluticasone 250micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free,0.0311702715786058,1300.0,LOW,LOW
198116001,observation,SYMPTOM_BREAST_LUMP,[X]Other signs and symptoms in breast,0.0310382428344238,1305.0,LOW,STRONG
170757007,observation,COMORBID_DM_EYE,Fundoscopy - diabetic check,0.0307333451300779,1314.0,LOW,LOW
810211000001105,medication,RESPIRATORY_INHALERS,Seretide 125 Evohaler (GlaxoSmithKline UK Ltd),0.0304815133086919,1321.0,LOW,LOW
160616005,observation,LIFE_SMOKING,Trying to give up smoking,0.0304505725650821,1323.0,LOW,MEDIUM
82639001,observation,REPRO_PMS,Premenstrual tension syndrome,0.0302271261645065,1333.0,LOW,LOW
160617001,observation,LIFE_SMOKING,Stopped smoking,0.029608256776669,1353.0,LOW,MEDIUM
771901000000100,observation,COMORBID_ASTHMA,Asthma causes night time symptoms 1 to 2 times per week,0.029493123174443,1358.0,LOW,MEDIUM
55222007,observation,SYMPTOM_BREAST_PAIN,Breast tenderness,0.0294526957950398,1360.0,LOW,MEDIUM
313987006,observation,COMORBID_DM_EYE,Retinopathy follow up,0.029447827015939,1362.0,LOW,LOW
269823000,observation,LAB_HBA1C,Hb. A1C - diabetic control,0.0292591005652254,1367.0,LOW,LOW
167411000001104,medication,OC,Noriday 350microgram tablets (Pfizer Ltd),0.0292286053552965,1369.0,LOW,MEDIUM
390888009,observation,COMORBID_DM_FOOT,O/E - left foot pulses present,0.0289024251101272,1379.0,LOW,LOW
41873411000001105,medication,HRT,Conjugated oestrogens 625microgram tablets,0.0286946918038789,1385.0,LOW,MEDIUM
160591008,observation,LIFE_ALCOHOL,Drinks wine,0.0284980489270052,1391.0,LOW,STRONG
